CSLAP Number,Lake Name,Waterbody Index Number,Elevation (meters),Area (hectares),Water Quality Classification,DEC Region,County,Town,Watershed Area (hectares),Mean Depth (meters),Watershed Name,Bathymetric Map available?,Public Access Description,Public Access?,Public/Private Access,Latitude,Longitude,Priority Waterbody List Number,Number of Years Sampled,Trophic State,Sampling Years,Depth (feet),Area (acres),Last Year Sampled,Georeference
196,Grass Lake,SL-25-  7/P1- 5-P51,98,129.5,C,6,St. Lawrence,Rossie,955,7.2,St. Lawrence River,no,yes,yes,public carry down,44.3344264,-75.7149427,0906-0060,16,Mesotrophic,2004-2011/2013-2019/2021/2022/2023-2024,23.7,319.9,2024,POINT (-75.7149427 44.3344264)
73,Lake Peekskill,H- 55- 7-P171,89,23.3,B,3,Putnam,Putnam Valley,286,3.7,Lower Hudson River,yes,no,no,lakefront only,41.3400698,-73.88260749,1301-0147,28,Mesoeutrophic,1990-1994/1996/1998/2000-2010/2012/2014-2024,12.1,57.6,2024,POINT (-73.88260749 41.3400698)
216,Beaver Dam Lake,H- 89-12-P234,101,164,B,3,Orange,Blooming Grove,66,3.5,Lower Hudson River,no,no,no,lakefront only,41.44295286,-74.11541711,1303-0021,10,Eutrophic,2008-2018/2021/2022/2023-2024,11.6,405.1,2024,POINT (-74.11541711 41.44295286)
224,Upper Little York Lake,SR- 44-14-60-P67,351,41.4,B,7,Cortland,Homer,7860,9.9,Susquehanna River,yes,yes,yes,public ramp,42.70306702,-76.15626802,0602-0017,12,Mesoligotrophic,2009-2013/2015-2018/2020-2024,32.4,102.3,2024,POINT (-76.15626802 42.70306702)
250,Lower Rhoda Lake,H-188-55-P888,153,21,B,4,Columbia,Copake,714,9,Lower Hudson River,no,no,no,no access,42.07931753,-73.5941095,1308-0018,5,Mesotrophic,2017-2024,29.5,58,2024,POINT (-73.5941095 42.07931753)
194,Guilford Lake,SR-146- 1-P188,475,28.5,AA,7,Chenango,Guilford,213,8.9,Susquehanna River,yes,yes,yes,public carry down,42.41304892,-75.49939567,0601-0012,15,Mesotrophic,2004-2008/2012-2024,29.3,70.4,2024,POINT (-75.49939567 42.41304892)
41,Cazenovia Lake,Ont  66-11-P26-37-35-P153,363,479.2,A,7,Madison,Cazenovia,2230,7.1,Seneca/Oneida/Oswego Rivers,yes,yes,yes,public carry down,42.94983172,-75.87397824,0703-0021,30,Mesoligotrophic,1988-2002/2004-2009/2011-2024,23.3,1183.6,2024,POINT (-75.87397824 42.94983172)
163,Mariaville Lake,H-240- 70-P570,388,80.3,B,4,Schenectady,Duanesburg,730,1.7,Mohawk River,no,no,no,lakefront only,42.82845637,-74.12632175,1201-0113,18,Eutrophic,1999-2011/2014-2018/2022/2023-2024,5.6,198.3,2024,POINT (-74.12632175 42.82845637)
132,Lake Guymard,D- 1-10-P14,216,13,B,3,Orange,Mount Hope,111,2,Delaware River,no,no,no,lakefront only,41.42918,-74.59938,1402-0031,12,Mesotrophic,1996-2001/2003/2011-2013/2018/2019/2021/2022/2023-2024,6.6,32.1,2024,POINT (-74.59938 41.42918)
137,Millsite Lake,SL-25-  7/P1- 8- P54..P55,91,204.6,B,6,Jefferson,Theresa,420,12.8,St. Lawrence River,yes,yes,yes,public ramp,44.29094033,-75.77577538,0906-0064,25,Mesoligotrophic,1997-2024,42,505.4,2024,POINT (-75.77577538 44.29094033)
229,Barrett Pond,H-31-P 44-23-P 67-5-P 71,237,28.5,B,3,Putnam,Kent,166,4.9,Lower Hudson River,no,no,no,lakefront only,41.43394508,-73.74063288,1302-0115,10,Eutrophic,2011-2015/2017-2024,16.1,70.4,2024,POINT (-73.74063288 41.43394508)
166,Lake Sunnyside,C-134- 4-19-19-P440,107,10.4,B,5,Warren,Queensbury,63,4.6,Lake Champlain,no,no,no,lakefront only,43.37534871,-73.63978734,1005-0047,15,Mesoligotrophic,1999-2003/2011-2015/2017-2024,15,25.7,2024,POINT (-73.63978734 43.37534871)
